Hola compañeros,

En este correo os envío los datos tomados por nuestra sonda.
Os envío "el bruto" en un archivo .txt 

Formato:

$Datos,n, humidity [%],Ext Temp [ºC], Int Tem [ºC],Pressure [KPa],Z 

Eg: $Datos,1,46,22,20,89,Z

En este ejemplo, estaríamos viendo los datos de la muestra número "1". Comprobamos que había un 46% de Humedad relativa, una temperatura exterior de 22ºC y una interior de 20ºC, con una presión de 89KPa.

Como podéis comprobar los dos termómetros no están del todo "calibrados/sincronizados". Son de diferente tipo y hay fluctuaciones entre ambos. A lo mejor se pueden hacer algún pequeño algoritmo de corrección que añada un OFFSET (en teoría, durante las primeras tomas, ambos dos deberían encontrarse al mismo valor) para poder comparar las medidas a lo largo del vuelo.

$Datos,0, 45,22,20,89,Z
$Datos,1, 46,22,20,89,Z
$Datos,2, 44,22,21,89,Z
$Datos,3, 46,22,21,89,Z
$Datos,4, 46,22,21,89,Z
$Datos,5, 46,22,21,89,Z
$Datos,6, 46,22,20,89,Z
$Datos,7, 45,22,20,89,Z
$Datos,8, 46,23,19,89,Z
$Datos,9, 44,24,20,89,Z
$Datos,10, 43,24,19,89,Z
$Datos,11, 46,24,19,89,Z
$Datos,12, 45,24,21,89,Z
$Datos,13, 43,24,21,89,Z
$Datos,14, 41,25,21,89,Z
$Datos,15, 43,25,21,89,Z
$Datos,16, 42,24,21,89,Z
$Datos,17, 40,24,21,89,Z
$Datos,18, 40,24,22,89,Z
$Datos,19, 40,24,21,89,Z
$Datos,20, 40,24,21,89,Z
$Datos,21, 40,24,22,89,Z
$Datos,22, 40,24,23,89,Z
$Datos,23, 40,24,22,89,Z
$Datos,24, 42,24,23,89,Z
$Datos,25, 45,24,22,88,Z
$Datos,26, 41,23,22,87,Z
$Datos,27, 41,22,22,87,Z
$Datos,28, 42,22,22,86,Z
$Datos,29, 42,22,23,85,Z
$Datos,30, 42,22,23,84,Z
$Datos,31, 43,21,23,84,Z
$Datos,32, 43,21,24,83,Z
$Datos,33, 43,20,24,82,Z
$Datos,34, 45,20,23,82,Z
$Datos,35, 46,20,23,81,Z
