{\rtf1\ansi\ansicpg1252\cocoartf1038\cocoasubrtf360
{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;}
\paperw11900\paperh16840\margl1440\margr1440\vieww21020\viewh14500\viewkind0
\deftab720
\pard\pardeftab720\ql\qnatural

\f0\fs24 \cf0 type	latitude	longitude	altitude (m)	data	fixtype	utc\
W	40.039163000	-4.285074000	545.0	5	04	Sun Oct 27 2013 15:42:32 GMT+0100 (CET)\
W	40.039170000	-4.285141000	550.0	6	3D-Fix	Sun Oct 27 2013 16:18:48 GMT+0100 (CET)\
W	40.039128000	-4.285131000	540.0	7	3D-Fix	Sun Oct 27 2013 16:19:03 GMT+0100 (CET)\
W	40.039144000	-4.285131000	538.0	8	3D-Fix	Sun Oct 27 2013 16:19:18 GMT+0100 (CET)\
W	40.039144000	-4.285135000	538.0	9	3D-Fix	Sun Oct 27 2013 16:19:33 GMT+0100 (CET)\
W	40.039140000	-4.285137000	538.0	10	3D-Fix	Sun Oct 27 2013 16:19:48 GMT+0100 (CET)\
W	40.039140000	-4.285136000	538.0	12	3D-Fix	Sun Oct 27 2013 16:20:18 GMT+0100 (CET)\
W	40.039140000	-4.285139000	538.0	17	04	Sun Oct 27 2013 16:21:33 GMT+0100 (CET)\
W	40.039132000	-4.285132000	538.0	18	04	Sun Oct 27 2013 16:21:48 GMT+0100 (CET)\
W	40.039136000	-4.285089000	538.0	19	04	Sun Oct 27 2013 16:22:03 GMT+0100 (CET)\
W	40.039109000	-4.285102000	536.0	20	04	Sun Oct 27 2013 16:22:18 GMT+0100 (CET)\
W	40.039121000	-4.285088000	535.0	21	04	Sun Oct 27 2013 16:22:33 GMT+0100 (CET)\
W	40.039128000	-4.285096000	535.0	22	04	Sun Oct 27 2013 16:22:48 GMT+0100 (CET)\
W	40.039147000	-4.285099000	535.0	23	04	Sun Oct 27 2013 16:23:03 GMT+0100 (CET)\
W	40.039170000	-4.285089000	535.0	24	04	Sun Oct 27 2013 16:23:18 GMT+0100 (CET)\
W	40.039163000	-4.285131000	539.0	25	04	Sun Oct 27 2013 16:23:33 GMT+0100 (CET)\
W	40.039048000	-4.285358000	537.0	26	04	Sun Oct 27 2013 16:23:48 GMT+0100 (CET)\
W	40.039102000	-4.285193000	540.0	27	04	Sun Oct 27 2013 16:24:03 GMT+0100 (CET)\
W	40.039121000	-4.285139000	542.0	28	04	Sun Oct 27 2013 16:24:18 GMT+0100 (CET)\
W	40.039128000	-4.285130000	544.0	29	04	Sun Oct 27 2013 16:24:33 GMT+0100 (CET)\
W	40.039132000	-4.285121000	544.0	30	04	Sun Oct 27 2013 16:24:48 GMT+0100 (CET)\
W	40.039151000	-4.285101000	544.0	31	04	Sun Oct 27 2013 16:25:03 GMT+0100 (CET)\
W	40.039159000	-4.285095000	545.0	32	04	Sun Oct 27 2013 16:25:18 GMT+0100 (CET)\
W	40.039079000	-4.285042000	552.0	33	3D-Fix	Sun Oct 27 2013 16:25:43 GMT+0100 (CET)\
W	40.039113000	-4.285154000	545.0	34	3D-Fix	Sun Oct 27 2013 16:25:58 GMT+0100 (CET)\
W	40.039121000	-4.285149000	545.0	35	3D-Fix	Sun Oct 27 2013 16:26:13 GMT+0100 (CET)\
W	40.039124000	-4.285147000	545.0	36	3D-Fix	Sun Oct 27 2013 16:26:28 GMT+0100 (CET)\
W	40.039121000	-4.285146000	545.0	37	3D-Fix	Sun Oct 27 2013 16:26:43 GMT+0100 (CET)\
W	40.039121000	-4.285145000	545.0	38	3D-Fix	Sun Oct 27 2013 16:26:58 GMT+0100 (CET)\
W	40.039121000	-4.285144000	545.0	42	3D-Fix	Sun Oct 27 2013 16:27:58 GMT+0100 (CET)\
W	40.039121000	-4.285143000	545.0	50	3D-Fix	Sun Oct 27 2013 16:29:58 GMT+0100 (CET)\
W	40.039121000	-4.285142000	545.0	52	3D-Fix	Sun Oct 27 2013 16:30:28 GMT+0100 (CET)\
W	40.039121000	-4.285141000	545.0	56	3D-Fix	Sun Oct 27 2013 16:31:28 GMT+0100 (CET)\
W	40.039121000	-4.285141000	544.0	64	3D-Fix	Sun Oct 27 2013 16:33:28 GMT+0100 (CET)\
W	40.039124000	-4.285141000	544.0	70	3D-Fix	Sun Oct 27 2013 16:34:58 GMT+0100 (CET)\
W	40.039124000	-4.285142000	544.0	73	3D-Fix	Sun Oct 27 2013 16:35:43 GMT+0100 (CET)\
W	40.039124000	-4.285136000	543.0	75	3D-Fix	Sun Oct 27 2013 16:36:13 GMT+0100 (CET)\
W	40.039128000	-4.285124000	540.0	76	3D-Fix	Sun Oct 27 2013 16:36:28 GMT+0100 (CET)\
W	40.039128000	-4.285125000	540.0	77	3D-Fix	Sun Oct 27 2013 16:36:43 GMT+0100 (CET)\
W	40.039128000	-4.285126000	540.0	78	3D-Fix	Sun Oct 27 2013 16:36:58 GMT+0100 (CET)\
W	40.039075000	-4.285111000	547.0	80	3D-Fix	Sun Oct 27 2013 16:37:45 GMT+0100 (CET)\
W	40.039121000	-4.285143000	544.0	81	3D-Fix	Sun Oct 27 2013 16:38:00 GMT+0100 (CET)\
W	40.039124000	-4.285126000	543.0	82	3D-Fix	Sun Oct 27 2013 16:38:15 GMT+0100 (CET)\
W	40.039124000	-4.285125000	543.0	83	3D-Fix	Sun Oct 27 2013 16:38:30 GMT+0100 (CET)\
W	40.039121000	-4.285125000	542.0	84	3D-Fix	Sun Oct 27 2013 16:38:45 GMT+0100 (CET)\
W	40.039121000	-4.285128000	542.0	87	3D-Fix	Sun Oct 27 2013 16:39:30 GMT+0100 (CET)\
W	40.039113000	-4.285126000	542.0	88	3D-Fix	Sun Oct 27 2013 16:39:45 GMT+0100 (CET)\
W	40.039113000	-4.285131000	542.0	89	3D-Fix	Sun Oct 27 2013 16:40:00 GMT+0100 (CET)\
W	40.039113000	-4.285132000	542.0	93	3D-Fix	Sun Oct 27 2013 16:41:00 GMT+0100 (CET)\
W	40.039109000	-4.285133000	542.0	97	3D-Fix	Sun Oct 27 2013 16:42:00 GMT+0100 (CET)\
W	40.039109000	-4.285134000	542.0	104	3D-Fix	Sun Oct 27 2013 16:43:45 GMT+0100 (CET)\
W	40.039113000	-4.285134000	542.0	112	3D-Fix	Sun Oct 27 2013 16:45:45 GMT+0100 (CET)\
W	40.039113000	-4.285135000	542.0	114	3D-Fix	Sun Oct 27 2013 16:46:15 GMT+0100 (CET)\
W	40.039117000	-4.285134000	543.0	118	3D-Fix	Sun Oct 27 2013 16:47:15 GMT+0100 (CET)\
W	40.039170000	-4.285100000	560.0	119	3D-Fix	Sun Oct 27 2013 16:47:30 GMT+0100 (CET)\
W	40.039403000	-4.284912000	633.0	120	3D-Fix	Sun Oct 27 2013 16:47:45 GMT+0100 (CET)\
W	40.039609000	-4.284797000	676.0	121	3D-Fix	Sun Oct 27 2013 16:48:00 GMT+0100 (CET)\
W	40.039811000	-4.284774000	714.0	122	3D-Fix	Sun Oct 27 2013 16:48:15 GMT+0100 (CET)\
W	40.039979000	-4.284741000	751.0	123	3D-Fix	Sun Oct 27 2013 16:48:30 GMT+0100 (CET)\
W	40.040257000	-4.284760000	796.0	124	3D-Fix	Sun Oct 27 2013 16:48:45 GMT+0100 (CET)\
W	40.040589000	-4.284656000	841.0	125	3D-Fix	Sun Oct 27 2013 16:49:00 GMT+0100 (CET)\
W	40.040517000	-4.284660000	897.0	126	3D-Fix	Sun Oct 27 2013 16:49:15 GMT+0100 (CET)\
W	40.040769000	-4.284884000	949.0	127	3D-Fix	Sun Oct 27 2013 16:49:30 GMT+0100 (CET)\
W	40.040860000	-4.284706000	999.0	128	3D-Fix	Sun Oct 27 2013 16:49:45 GMT+0100 (CET)\
W	40.040921000	-4.284454000	1038.0	129	3D-Fix	Sun Oct 27 2013 16:50:00 GMT+0100 (CET)\
W	40.041188000	-4.284244000	1075.0	130	3D-Fix	Sun Oct 27 2013 16:50:15 GMT+0100 (CET)\
W	40.041448000	-4.284142000	1116.0	131	3D-Fix	Sun Oct 27 2013 16:50:30 GMT+0100 (CET)\
W	40.041806000	-4.283798000	1159.0	132	3D-Fix	Sun Oct 27 2013 16:50:45 GMT+0100 (CET)\
W	40.042329000	-4.283693000	1198.0	133	3D-Fix	Sun Oct 27 2013 16:51:00 GMT+0100 (CET)\
W	40.042897000	-4.283583000	1233.0	134	3D-Fix	Sun Oct 27 2013 16:51:15 GMT+0100 (CET)\
W	40.043553000	-4.283330000	1270.0	135	3D-Fix	Sun Oct 27 2013 16:51:30 GMT+0100 (CET)\
W	40.044332000	-4.283172000	1308.0	136	3D-Fix	Sun Oct 27 2013 16:51:45 GMT+0100 (CET)\
W	40.045205000	-4.282856000	1345.0	137	3D-Fix	Sun Oct 27 2013 16:52:00 GMT+0100 (CET)\
W	40.046205000	-4.282498000	1380.0	138	3D-Fix	Sun Oct 27 2013 16:52:15 GMT+0100 (CET)\
W	40.047208000	-4.282091000	1413.0	139	3D-Fix	Sun Oct 27 2013 16:52:30 GMT+0100 (CET)\
W	40.048303000	-4.281556000	1450.0	140	3D-Fix	Sun Oct 27 2013 16:52:45 GMT+0100 (CET)\
W	40.049466000	-4.280973000	1484.0	141	3D-Fix	Sun Oct 27 2013 16:53:00 GMT+0100 (CET)\
W	40.050736000	-4.280296000	1519.0	142	3D-Fix	Sun Oct 27 2013 16:53:15 GMT+0100 (CET)\
W	40.051915000	-4.279377000	1559.0	143	3D-Fix	Sun Oct 27 2013 16:53:30 GMT+0100 (CET)\
W	40.052686000	-4.278388000	1613.0	144	3D-Fix	Sun Oct 27 2013 16:53:45 GMT+0100 (CET)\
W	40.053452000	-4.277175000	1662.0	145	3D-Fix	Sun Oct 27 2013 16:54:00 GMT+0100 (CET)\
W	40.053956000	-4.276069000	1707.0	146	3D-Fix	Sun Oct 27 2013 16:54:15 GMT+0100 (CET)\
W	40.054441000	-4.274690000	1745.0	147	3D-Fix	Sun Oct 27 2013 16:54:30 GMT+0100 (CET)\
W	40.054952000	-4.273443000	1778.0	148	3D-Fix	Sun Oct 27 2013 16:54:45 GMT+0100 (CET)\
W	40.055436000	-4.272129000	1812.0	149	3D-Fix	Sun Oct 27 2013 16:55:00 GMT+0100 (CET)\
W	40.055921000	-4.271011000	1852.0	150	3D-Fix	Sun Oct 27 2013 16:55:15 GMT+0100 (CET)\
W	40.056432000	-4.269782000	1887.0	151	3D-Fix	Sun Oct 27 2013 16:55:30 GMT+0100 (CET)\
W	40.056996000	-4.268681000	1921.0	152	3D-Fix	Sun Oct 27 2013 16:55:45 GMT+0100 (CET)\
W	40.057485000	-4.267330000	1955.0	153	3D-Fix	Sun Oct 27 2013 16:56:00 GMT+0100 (CET)\
W	40.057874000	-4.266145000	1995.0	154	3D-Fix	Sun Oct 27 2013 16:56:15 GMT+0100 (CET)\
W	40.058034000	-4.264689000	2042.0	155	3D-Fix	Sun Oct 27 2013 16:56:30 GMT+0100 (CET)\
W	40.058400000	-4.262871000	2081.0	156	3D-Fix	Sun Oct 27 2013 16:56:45 GMT+0100 (CET)\
W	40.058686000	-4.260998000	2115.0	157	3D-Fix	Sun Oct 27 2013 16:57:00 GMT+0100 (CET)\
W	40.058988000	-4.259118000	2147.0	158	3D-Fix	Sun Oct 27 2013 16:57:15 GMT+0100 (CET)\
W	40.059381000	-4.257207000	2179.0	159	3D-Fix	Sun Oct 27 2013 16:57:30 GMT+0100 (CET)\
W	40.059728000	-4.255276000	2210.0	160	3D-Fix	Sun Oct 27 2013 16:57:45 GMT+0100 (CET)\
W	40.060235000	-4.253317000	2242.0	161	3D-Fix	Sun Oct 27 2013 16:58:00 GMT+0100 (CET)\
W	40.060849000	-4.251201000	2276.0	162	3D-Fix	Sun Oct 27 2013 16:58:15 GMT+0100 (CET)\
W	40.061452000	-4.248961000	2311.0	163	3D-Fix	Sun Oct 27 2013 16:58:30 GMT+0100 (CET)\
W	40.062085000	-4.246680000	2344.0	164	3D-Fix	Sun Oct 27 2013 16:58:45 GMT+0100 (CET)\
W	40.062764000	-4.244380000	2379.0	165	3D-Fix	Sun Oct 27 2013 16:59:00 GMT+0100 (CET)\
W	40.063508000	-4.241996000	2413.0	166	3D-Fix	Sun Oct 27 2013 16:59:15 GMT+0100 (CET)\
W	40.064301000	-4.239537000	2448.0	167	3D-Fix	Sun Oct 27 2013 16:59:30 GMT+0100 (CET)\
W	40.065129000	-4.237010000	2481.0	168	3D-Fix	Sun Oct 27 2013 16:59:45 GMT+0100 (CET)\
W	40.066037000	-4.234401000	2515.0	169	3D-Fix	Sun Oct 27 2013 17:00:00 GMT+0100 (CET)\
W	40.066972000	-4.231687000	2550.0	170	04	Sun Oct 27 2013 17:00:15 GMT+0100 (CET)\
W	40.067937000	-4.228965000	2584.0	171	04	Sun Oct 27 2013 17:00:30 GMT+0100 (CET)\
W	40.068887000	-4.226275000	2618.0	172	04	Sun Oct 27 2013 17:00:45 GMT+0100 (CET)\
W	40.069882000	-4.223625000	2650.0	173	04	Sun Oct 27 2013 17:01:00 GMT+0100 (CET)\
W	40.070848000	-4.220959000	2679.0	174	04	Sun Oct 27 2013 17:01:15 GMT+0100 (CET)\
W	40.071843000	-4.218297000	2711.0	175	04	Sun Oct 27 2013 17:01:30 GMT+0100 (CET)\
W	40.072888000	-4.215622000	2746.0	176	04	Sun Oct 27 2013 17:01:45 GMT+0100 (CET)\
W	40.074018000	-4.212910000	2780.0	177	04	Sun Oct 27 2013 17:02:00 GMT+0100 (CET)\
W	40.075116000	-4.210185000	2815.0	178	04	Sun Oct 27 2013 17:02:15 GMT+0100 (CET)\
W	40.076261000	-4.207550000	2852.0	179	04	Sun Oct 27 2013 17:02:30 GMT+0100 (CET)\
W	40.077474000	-4.204974000	2889.0	180	04	Sun Oct 27 2013 17:02:45 GMT+0100 (CET)\
W	40.078790000	-4.202523000	2924.0	181	04	Sun Oct 27 2013 17:03:00 GMT+0100 (CET)\
W	40.080140000	-4.200111000	2961.0	182	04	Sun Oct 27 2013 17:03:15 GMT+0100 (CET)\
W	40.081613000	-4.197652000	2996.0	183	04	Sun Oct 27 2013 17:03:30 GMT+0100 (CET)\
W	40.083154000	-4.195096000	3031.0	184	04	Sun Oct 27 2013 17:03:45 GMT+0100 (CET)\
W	40.084645000	-4.192532000	3068.0	185	04	Sun Oct 27 2013 17:04:00 GMT+0100 (CET)\
W	40.086114000	-4.189985000	3104.0	186	04	Sun Oct 27 2013 17:04:15 GMT+0100 (CET)\
W	40.087617000	-4.187462000	3139.0	187	04	Sun Oct 27 2013 17:04:30 GMT+0100 (CET)\
W	40.089101000	-4.184917000	3175.0	188	04	Sun Oct 27 2013 17:04:45 GMT+0100 (CET)\
W	40.090543000	-4.182379000	3213.0	189	04	Sun Oct 27 2013 17:05:00 GMT+0100 (CET)\
